,input_angle,input_prheo,pspikenorm_ctr,fitgausspspikenorm_ctr,pspikenorm_fdE0,fitgausspspikenorm_fdE0,pspikenorm_ctrE0,fitgausspspikenorm_ctrE0,pspikenorm_fd,fitgausspspikenorm_fd
0,-90,0.7823141255935305,0.005174363332985838,0.017578922961106913,0.02459616290430527,0.05760275768087597,0.01945640816099267,0.05142658070763662,0.0819702206966856,0.12236475637613085
1,-89,0.7847406184568553,0.006003406159876932,0.019220990638082826,0.02754360063310289,0.061353020518541516,0.02200218780059415,0.05491219592372196,0.08805445137738743,0.128179336202943
2,-88,0.7871474001339164,0.006946432865517956,0.020995486202330153,0.03076160854407018,0.0653014099769482,0.02480509809462599,0.058591112993717796,0.09444949144210657,0.13420058731172443
3,-87,0.7895342433591365,0.008015882192753674,0.022910932725220524,0.03426506001240608,0.06945493434381883,0.02788127293684089,0.06247071249190073,0.10116004067516922,0.14043182658472525
4,-86,0.7919009222467175,0.009225055414029914,0.024976194551687862,0.03806863699796844,0.07382060297479313,0.031246794654606454,0.06655841100587583,0.10819009827380857,0.1468761915592283
5,-85,0.7942472123261359,0.010588108034514519,0.027200471483031705,0.042186728958503575,0.07840540599131177,0.0349175833387059,0.07086164108336548,0.11554292982756253,0.1535366254444475
6,-84,0.7965728905774991,0.01212003129673978,0.029593290685669404,0.046633330569580585,0.08321629276502206,0.0389092833015298,0.0753878297990901,0.12322103802831079,0.16041586196223584
7,-83,0.7988777354667566,0.013836622785832638,0.032164496171490295,0.05142193933701293,0.08826014920619274,0.04323714792645541,0.08014437594868445,0.1312261373163639,0.16751641005174592
8,-82,0.8011615269807558,0.015754445565626312,0.03492423569933174,0.056565454192622905,0.09354377388079528,0.047915924199791314,0.08513862588430518,0.13955913262725922,0.1748405384805214
9,-81,0.8034240466621394,0.01789077542870435,0.03788294495255993,0.062076076150818685,0.09907385298837953,0.052959738221637895,0.09037784801471024,0.14822010236222957,0.18239026040675935
10,-80,0.8056650776440694,0.020263536015168806,0.04105132885488755,0.06796521207228508,0.10485693424061444,0.058381982973853885,0.09586920600109372,0.15720828566326278,0.19016731793965566
11,-79,0.8078844046847785,0.022891221742434846,0.04444033989547619,0.07424338253331668,0.11089939968834668,0.06419520958314658,0.10161973068881225,0.16652207403196048,0.19817316674681723
12,-78,0.8100818142019337,0.02579280868775179,0.048061153345123585,0.08092013473631353,0.11720743755320796,0.07041102325663014,0.10763629082429955,0.1761590072904882,0.20640896075967638
13,-77,0.8122570943068096,0.028987653772109684,0.05192513925797885,0.08800396132056698,0.12378701312814433,0.07703998498810045,0.11392556261589248,0.18611577384347328,0.2148755370296656
14,-76,0.8144100348382606,0.032495382803919864,0.05604383116780541,0.09550222584453319,0.13064383881969086,0.08409152003800566,0.12049399820693733,0.1963882151620662,0.2235734007895877
15,-75,0.8165404273964865,0.03633576814842976,0.0604288914043452,0.10342109561356816,0.13778334341333429,0.09157383408135537,0.12734779313935513,0.20697133437612386,0.23250271077612997
16,-74,0.8186480653765826,0.04052859698915627,0.06509207297383407,0.11176548242269675,0.14521064065183695,0.09949383779827596,0.13449285289576687,0.21785930882783727,0.24166326487081624
17,-73,0.8207327440018678,0.045093531335779924,0.07004517796816602,0.12053899167472601,0.1529304972248846,0.10785708055450922,0.14193475861824645,0.22904550641048896,0.25105448611784426
