,input_prheo,pspike_ctr,pspike_fdE0,pspike_ctrE0,pspike_fd
0,0.7,1.3961106907794097e-06,2.5194174044007162e-05,1.1088094145355507e-05,0.0008103368663880554
1,0.703030303030303,1.7638300017968308e-06,3.140581409116168e-05,1.423370860095122e-05,0.0009210841920651641
2,0.706060606060606,2.225659337017376e-06,3.903632383474162e-05,1.8205316492041477e-05,0.0010455454281324535
3,0.709090909090909,2.804845784550295e-06,4.8380478069743895e-05,2.3200304561125497e-05,0.0011852011489638528
4,0.712121212121212,3.5301288150038607e-06,5.978714763749642e-05,2.945788215831887e-05,0.001341660799032935
5,0.7151515151515151,4.436965338995545e-06,7.366761284294349e-05,3.7266588099527564e-05,0.0015166698294548113
6,0.7181818181818181,5.569007599920755e-06,9.05048186177577e-05,4.697283042859398e-05,0.0017121167180343504
7,0.7212121212121212,6.9798805391164904e-06,0.00011086361318337564,5.899053418117385e-05,0.001930039796977855
8,0.7242424242424242,8.735312418248346e-06,0.00013540200094674134,7.381196378211053e-05,0.002172633806326953
9,0.7272727272727272,1.0915680354252753e-05,0.0001648834265923236,9.201977478508002e-05,0.0024422560855538043
10,0.7303030303030302,1.361904099033904e-05,0.0002001900907071037,0.00011430033398766264,0.002741432310759294
11,0.7333333333333333,1.696472573380865e-05,0.00024233727775386144,0.0001414583273118841,0.003072861680686168
12,0.7363636363636363,2.10975897375266e-05,0.00029248865484204895,0.00017443265111882512,0.003439421451443751
13,0.7393939393939394,2.6193013935927327e-05,0.0003519724746829748,0.0002143135548412827,0.0038441707175811616
14,0.7424242424242424,3.246276975770037e-05,0.0004222985886140328,0.00026236097113220986,0.004290353336078118
15,0.7454545454545454,4.016186634573724e-05,0.0005051761460074886,0.00032002393446259537,0.00478139989007053
16,0.7484848484848484,4.9596509862331436e-05,0.000602531825233977,0.0003889609507584653,0.0053209285908029265
17,0.7515151515151515,6.113331329986874e-05,0.0007165284092375301,0.0004710611399194733,0.005912745019492738
18,0.7545454545454545,7.52099026184393e-05,0.0008495834864172696,0.0005684659307647456,0.006560840615575297
19,0.7575757575757576,9.234707036125587e-05,0.0010043880257195575,0.0006835910451247623,0.00726938982421595
20,0.7606060606060606,0.00011316263043196425,0.0011839245445254545,0.0008191484656081559,0.008042745824048899
21,0.7636363636363636,0.00013838712664241489,0.0013914845600338647,0.00097816804130553,0.00888543476581668
22,0.7666666666666666,0.00016888154206689258,0.001630684990386952,0.0011640183487185653,0.009802148463898321
23,0.7696969696969697,0.00020565714522432005,0.0019054831517597212,0.0013804263929314668,0.01079773549554955
24,0.7727272727272727,0.00024989759167977664,0.0022201899830080504,0.0016314957078747891,0.011877190676929328
25,0.7757575757575758,0.0003029833748442687,0.002579481121137984,0.0019217223958072729,0.013045642900505939
26,0.7787878787878788,0.0003665186866437013,0.002988405449621211,0.0022560086360826704,0.01430834133505452
27,0.7818181818181817,0.0004423607065183798,0.0034523907480937485,0.0026396731929262613,0.015670640006969352
28,0.7848484848484848,0.0005326512852672348,0.003977246086723427,0.0030784584621500006,0.017137980799791515
29,0.7878787878787878,0.0006398509281692657,0.004569160631801764,0.003578533618047286,0.01871587492744123
30,0.7909090909090909,0.0007667749095137267,0.005234698560971824,0.004146493454387913,0.020409882955378465
31,0.793939393939394,0.0009166312684503651,0.005980789826768884,0.004789352557406132,0.022225593462505192
32,0.7969696969696969,0.0010930603446876247,0.006814716555406201,0.00551453450352346,0.024168600454783785
33,0.7999999999999999,0.0013001754132921824,0.007744094923317338,0.006329855839506514,0.026244479658981936
34,0.803030303030303,0.0015426038725130644,0.008776852415968397,0.007243504676726105,0.028458763841374662
35,0.806060606060606,0.0018255283295951987,0.009921200440764073,0.008264013812748095,0.030816917311367625
36,0.8090909090909091,0.0021547268199786584,0.011185602337180973,0.009400228380959512,0.03332430978358124
37,0.8121212121212121,0.002536611288684665,0.012578736901114393,0.010661268120410109,0.035986189783719744
38,0.8151515151515152,0.002978263363148433,0.014109457615244762,0.012056484451450768,0.038807657793327364
39,0.8181818181818181,0.003487466358752901,0.01578674785137489,0.013595412635900394,0.04179363933612429
40,0.8212121212121212,0.004072732386584487,0.01761967238249853,0.015287719391159985,0.0449488582138745
41,0.8242424242424242,0.004743323382293847,0.019617325610199146,0.0171431464137441,0.048277810102555344
42,0.8272727272727273,0.005509264850101094,0.021788776975295267,0.01917145034704793,0.05178473671991949
43,0.8303030303030303,0.006381351121277688,0.024143014075004687,0.021382339798913026,0.055473600773326893
44,0.8333333333333333,0.007371140965613256,0.0266888840570417,0.023785410075026332,0.05934806189201074
45,0.8363636363636363,0.008490942470332325,0.029435033898909533,0.02639007634298791,0.06341145374078452
46,0.8393939393939394,0.009753786215482294,0.03238985020838206,0.02920550597793155,0.0676667625026925
47,0.8424242424242424,0.011173385928506852,0.03556139919819102,0.03224055086313192,0.0721166069064129
48,0.8454545454545455,0.01276408599263008,0.038957367493929175,0.035503680427698484,0.07676321996049514
49,0.8484848484848484,0.014540795411340564,0.04258500442908897,0.03900291619819468,0.08160843254097036
50,0.8515151515151516,0.01651890809062366,0.04645106646518743,0.042745768622156094,0.08665365896175417
51,0.8545454545454545,0.018714209586026927,0.050561764348531824,0.0467391768896303,0.09189988463879235
52,0.8575757575757575,0.021142770766130185,0.05492271357905306,0.05098945243497916,0.09734765593940094
53,0.8606060606060606,0.023820829159239658,0.05953888872163649,0.05550222674642237,0.10299707228793642
54,0.8636363636363636,0.02676465906693614,0.06441458203761102,0.06028240404660301,0.10884778057816132
55,0.8666666666666667,0.029990431836623213,0.06955336685467209,0.06533411933534325,0.11489897192166452
56,0.8696969696969696,0.03351406797539907,0.0749580660288462,0.07066070220743789,0.12114938074077873
57,0.8727272727272727,0.03735108304953684,0.08063072578349312,0.07626464677553618,0.12759728619386237
58,0.8757575757575757,0.041516429538349484,0.08657259513918701,0.08214758794264145,0.13424051590083047
59,0.8787878787878788,0.04602433699000866,0.09278411107599742,0.08831028418225534,0.14107645191768994
