,input_prheo,pspike_ctr,pspike_fdE0,pspike_ctrE0,pspike_fd
0,0.7,1.103847784061579e-05,4.878027737310329e-05,0.00013554004280437131,0.0006462968203436683
1,0.703030303030303,1.3081658249258036e-05,5.72049634718043e-05,0.00015646457750006007,0.0007313826221905725
2,0.706060606060606,1.5501747775092663e-05,6.707112601780415e-05,0.0001805893227761509,0.0008274523008330835
3,0.709090909090909,1.8367919553696228e-05,7.862202528028323e-05,0.00020839670325509667,0.0009358809387884819
4,0.712121212121212,2.1761942772792286e-05,9.214113438314036e-05,0.00024044024027613736,0.0010582074222297538
5,0.7151515151515151,2.578044881154196e-05,0.0001079585796815748,0.0002773546541784755,0.0011961523447867198
6,0.7181818181818181,3.053759744650078e-05,0.00012645856181104013,0.0003198673158072405,0.001351637559725145
7,0.7212121212121212,3.6168211640862445e-05,0.00014808789433093841,0.000368811207647187,0.0015268074723583387
8,0.7242424242424242,4.283146058367179e-05,0.00017336581296582365,0.00042513956945948553,0.0017240521570340288
9,0.7272727272727272,5.0715183447770285e-05,0.00020289522565327772,0.0004899424179446664,0.0019460323720459055
10,0.7303030303030302,6.004096098814501e-05,0.00023737559180694087,0.0005644651444400128,0.0021957065307131565
11,0.7333333333333333,7.107005881509705e-05,0.0002776176381842526,0.0006501294085375836,0.0024763596669662535
12,0.7363636363636363,8.411038516424619e-05,0.00032456013820270497,0.0007485565582104335,0.0027916344083415614
13,0.7393939393939394,9.952462746242005e-05,0.0003792890010469528,0.0008615938178438115,0.0031455639375530383
14,0.7424242424242424,0.00011773975616025653,0.0004430589358779305,0.0009913434936015774,0.0035426068849941194
15,0.7454545454545454,0.0001392581113524339,0.0005173179741463562,0.0011401954497398475,0.003987684047849956
16,0.7484848484848484,0.00016467031778030525,0.0006037351484751463,0.0013108631085196872,0.004486216776233631
17,0.7515151515151515,0.00019467030699495168,0.0007042316386209775,0.0015064232187423597,0.005044166802240761
18,0.7545454545454545,0.00023007276174938596,0.0008210157022001365,0.0017303596218561173,0.005668077213517295
19,0.7575757575757576,0.0002718333369619187,0.0009566217084153351,0.001986611218020187,0.006365114188509734
20,0.7606060606060606,0.00032107205355705413,0.0011139535848732785,0.0022796242951541095,0.007143109015929664
21,0.7636363636363636,0.00037910030563351573,0.0012963329683201626,0.0026144093292909108,0.008010599816358805
22,0.7666666666666666,0.00044745196693338576,0.0015075523169796896,0.0029966022917130622,0.008976872270010162
23,0.7696969696969697,0.0005279191283314298,0.0017519331920541014,0.0034325304044373174,0.010051998532617167
24,0.7727272727272727,0.0006225930424168478,0.002034389845440637,0.003929282167606472,0.011246873393025433
25,0.7757575757575758,0.000733910892033429,0.0023604981561830703,0.004494781337260394,0.012573246593779348
26,0.7787878787878788,0.0008647090340435092,0.0027365698358492703,0.005137864357023546,0.014043750103085565
27,0.7818181818181817,0.0010182833939615722,0.0031697316691469213,0.005868360540109131,0.01567191899709475
28,0.7848484848484848,0.0011984576969260718,0.0036680093671336003,0.006697174057040944,0.017472204490466343
29,0.7878787878787878,0.001409660210169131,0.00424041538331088,0.007636366508986842,0.01945997754655596
30,0.7909090909090909,0.0016570096349908243,0.0048970397755159325,0.008699238557336371,0.021651521413048495
31,0.793939393939394,0.001946410714321829,0.0056491428878747115,0.009900408739711996,0.02406401137195794
32,0.7969696969696969,0.0022846600061090447,0.006509248277907765,0.011255887235848147,0.02671547997274449
33,0.7999999999999999,0.002679562102653199,0.007491233927167105,0.01278314196133671,0.029624766042318434
34,0.803030303030303,0.003140056340335856,0.008610419355309096,0.014501153973979572,0.03281144584438557
35,0.806060606060606,0.003676353730890926,0.009883645816413813,0.01643045879089717,0.03629574490103055
36,0.8090909090909091,0.004300083442338535,0.01132934630565579,0.018593169852995882,0.04009842919880099
37,0.8121212121212121,0.0050244476533484765,0.01296760166142571,0.02101298005929077,0.04424067478556583
38,0.8151515151515152,0.005864382989221913,0.014820178634546415,0.023715137053135063,0.04874391512668298
39,0.8181818181818181,0.00683672601396915,0.016910545438705574,0.026726387805196414,0.05362966603040016
40,0.8212121212121212,0.00796037939892427,0.01926386002522137,0.030074888036052336,0.05891932847044867
41,0.8242424242424242,0.009256474418512075,0.02190692617475995,0.033790072187622394,0.0646339702220746
42,0.8272727272727273,0.010748524351747214,0.024868112504794586,0.037902480019580555,0.07079408787557086
43,0.8303030303030303,0.012462562218861927,0.028177229690914095,0.04244353650344378,0.07741935148340935
44,0.8333333333333333,0.014427255095132215,0.03186536162702202,0.047445282536262956,0.08452833481346762
45,0.8363636363636363,0.016673986073580668,0.03596464693356127,0.05294005511160654,0.09213823489744125
